zip,lat,lon,city,state_id,county_name,urls
30263,33.38871,-84.85806,Newnan,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Newnan
30266,33.17419,-84.21516,Orchard-Hill,GA,Lamar,http://www.rockethomes.com/real-estate-trends/GA/Orchard-Hill
30268,33.54264,-84.72499,Palmetto,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Palmetto
30269,33.39449,-84.57082,Peachtree-City,GA,Fayette,http://www.rockethomes.com/real-estate-trends/GA/Peachtree-City
30272,33.61,-84.51222,Red-Oak,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Red-Oak
30273,33.58355,-84.27206,Rex,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Rex
30274,33.55372,-84.40063,Riverdale,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Riverdale
30275,33.43688,-84.87389,Sargent,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Sargent
30276,33.26735,-84.58164,Senoia,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Senoia
30277,33.38138,-84.65052,Sharpsburg,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Sharpsburg
30281,33.56349,-84.19491,Stockbridge,GA,Henry,http://www.rockethomes.com/real-estate-trends/GA/Stockbridge
30284,33.34227,-84.28945,Sunny-Side,GA,Spalding,http://www.rockethomes.com/real-estate-trends/GA/Sunny-Side
30285,32.98852,-84.24909,The-Rock,GA,Upson,http://www.rockethomes.com/real-estate-trends/GA/The-Rock
30288,33.65546,-84.32495,Conley,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Conley
30289,33.3253,-84.63696,Turin,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Turin
30290,33.47743,-84.58795,Tyrone,GA,Fayette,http://www.rockethomes.com/real-estate-trends/GA/Tyrone
30291,33.57454,-84.54187,Union-City,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Union-City
30292,33.17119,-84.39456,Williamson,GA,Pike,http://www.rockethomes.com/real-estate-trends/GA/Williamson
30293,32.97425,-84.60175,Woodbury,GA,Meriwether,http://www.rockethomes.com/real-estate-trends/GA/Woodbury
30294,33.63633,-84.26377,Ellenwood,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Ellenwood
30295,33.09456,-84.31264,Zebulon,GA,Pike,http://www.rockethomes.com/real-estate-trends/GA/Zebulon
30297,33.61565,-84.37185,Forest-Park,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Forest-Park
30301,33.8559,-84.3953,Atlanta,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Atlanta
30510,34.44178,-83.58277,Alto,GA,Habersham,http://www.rockethomes.com/real-estate-trends/GA/Alto
30511,34.45741,-83.476,Baldwin,GA,Banks,http://www.rockethomes.com/real-estate-trends/GA/Baldwin
30515,34.13097,-84.02659,Buford,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Buford
30521,34.36236,-83.29363,Carnesville,GA,Franklin,http://www.rockethomes.com/real-estate-trends/GA/Carnesville
30527,34.47947,-83.78624,Clermont,GA,Hall,http://www.rockethomes.com/real-estate-trends/GA/Clermont
30528,34.61549,-83.79492,Cleveland,GA,White,http://www.rockethomes.com/real-estate-trends/GA/Cleveland
30533,34.5641,-84.01541,Dahlonega,GA,Lumpkin,http://www.rockethomes.com/real-estate-trends/GA/Dahlonega
30534,34.43887,-84.15074,Dawsonville,GA,Dawson,http://www.rockethomes.com/real-estate-trends/GA/Dawsonville
30547,34.36056,-83.46228,Homer,GA,Banks,http://www.rockethomes.com/real-estate-trends/GA/Homer
30548,34.09051,-83.76653,Hoschton,GA,Jackson,http://www.rockethomes.com/real-estate-trends/GA/Hoschton
30564,34.47048,-83.88621,Murrayville,GA,Hall,http://www.rockethomes.com/real-estate-trends/GA/Murrayville
30620,33.92906,-83.7573,Bethlehem,GA,Barrow,http://www.rockethomes.com/real-estate-trends/GA/Bethlehem
30623,33.73016,-83.53609,Bostwick,GA,Morgan,http://www.rockethomes.com/real-estate-trends/GA/Bostwick
30625,33.51949,-83.33776,Buckhead,GA,Morgan,http://www.rockethomes.com/real-estate-trends/GA/Buckhead
30641,33.77766,-83.56974,Good-Hope,GA,Walton,http://www.rockethomes.com/real-estate-trends/GA/Good-Hope
